# m3456
# underflow	  0.0000000    	  0.0000000    
# overflow	 0.49283153E-01	 0.28958627E-03
# sum	  1.6268058    	 0.10559684E-02
# xmin	xmax	cross	numerror
  0.0000000    	  10.000000    	  0.0000000    	  0.0000000    
  10.000000    	  20.000000    	  0.0000000    	  0.0000000    
  20.000000    	  30.000000    	  0.0000000    	  0.0000000    
  30.000000    	  40.000000    	  0.0000000    	  0.0000000    
  40.000000    	  50.000000    	  0.0000000    	  0.0000000    
  50.000000    	  60.000000    	  0.0000000    	  0.0000000    
  60.000000    	  70.000000    	  0.0000000    	  0.0000000    
  70.000000    	  80.000000    	  0.0000000    	  0.0000000    
  80.000000    	  90.000000    	  0.0000000    	  0.0000000    
  90.000000    	  100.00000    	  0.0000000    	  0.0000000    
  100.00000    	  110.00000    	  0.0000000    	  0.0000000    
  110.00000    	  120.00000    	  0.0000000    	  0.0000000    
  120.00000    	  130.00000    	  0.0000000    	  0.0000000    
  130.00000    	  140.00000    	  0.0000000    	  0.0000000    
  140.00000    	  150.00000    	  0.0000000    	  0.0000000    
  150.00000    	  160.00000    	  0.0000000    	  0.0000000    
  160.00000    	  170.00000    	  0.0000000    	  0.0000000    
  170.00000    	  180.00000    	  0.0000000    	  0.0000000    
  180.00000    	  190.00000    	 0.11296061    	 0.28159593E-03
  190.00000    	  200.00000    	 0.17072470    	 0.32670991E-03
  200.00000    	  210.00000    	 0.16871118    	 0.32297951E-03
  210.00000    	  220.00000    	 0.15420243    	 0.30944838E-03
  220.00000    	  230.00000    	 0.13615626    	 0.29250672E-03
  230.00000    	  240.00000    	 0.11844997    	 0.27391623E-03
  240.00000    	  250.00000    	 0.10171240    	 0.25504567E-03
  250.00000    	  260.00000    	 0.87132221E-01	 0.23706927E-03
  260.00000    	  270.00000    	 0.74261163E-01	 0.21990526E-03
  270.00000    	  280.00000    	 0.63458125E-01	 0.20463226E-03
  280.00000    	  290.00000    	 0.54130294E-01	 0.18953682E-03
  290.00000    	  300.00000    	 0.46251547E-01	 0.17693751E-03
  300.00000    	  310.00000    	 0.39548359E-01	 0.16368815E-03
  310.00000    	  320.00000    	 0.33934718E-01	 0.15159465E-03
  320.00000    	  330.00000    	 0.29075159E-01	 0.14202334E-03
  330.00000    	  340.00000    	 0.25038921E-01	 0.13267969E-03
  340.00000    	  350.00000    	 0.21453220E-01	 0.12300554E-03
  350.00000    	  360.00000    	 0.18526659E-01	 0.11452789E-03
  360.00000    	  370.00000    	 0.16373475E-01	 0.10828385E-03
  370.00000    	  380.00000    	 0.14472262E-01	 0.10072593E-03
  380.00000    	  390.00000    	 0.12949735E-01	 0.98122790E-04
  390.00000    	  400.00000    	 0.11459923E-01	 0.90626948E-04
  400.00000    	  410.00000    	 0.10224996E-01	 0.86907998E-04
  410.00000    	  420.00000    	 0.91582810E-02	 0.82146034E-04
  420.00000    	  430.00000    	 0.82163596E-02	 0.77861865E-04
  430.00000    	  440.00000    	 0.74161895E-02	 0.75123908E-04
  440.00000    	  450.00000    	 0.66264509E-02	 0.71558856E-04
  450.00000    	  460.00000    	 0.59584516E-02	 0.67240518E-04
  460.00000    	  470.00000    	 0.54444917E-02	 0.64254855E-04
  470.00000    	  480.00000    	 0.49527767E-02	 0.62120464E-04
  480.00000    	  490.00000    	 0.44896651E-02	 0.58101763E-04
  490.00000    	  500.00000    	 0.40516381E-02	 0.57219354E-04
