# m4lpta
# underflow	  0.0000000    	  0.0000000    
# overflow	  0.0000000    	  0.0000000    
# sum	  1.6269318    	 0.10452781E-02
# xmin	xmax	cross	numerror
  20.000000    	  86.000000    	  0.0000000    	  0.0000000    
  86.000000    	  96.000000    	  0.0000000    	  0.0000000    
  96.000000    	  104.00000    	  0.0000000    	  0.0000000    
  104.00000    	  122.00000    	  0.0000000    	  0.0000000    
  122.00000    	  128.00000    	  0.0000000    	  0.0000000    
  128.00000    	  137.00000    	  0.0000000    	  0.0000000    
  137.00000    	  149.00000    	  0.0000000    	  0.0000000    
  149.00000    	  163.00000    	  0.0000000    	  0.0000000    
  163.00000    	  182.00000    	 0.10171538E-01	 0.95710464E-04
  182.00000    	  191.00000    	 0.11910618    	 0.28421848E-03
  191.00000    	  199.00000    	 0.13713285    	 0.29471065E-03
  199.00000    	  216.00000    	 0.28060924    	 0.40678173E-03
  216.00000    	  234.00000    	 0.24521027    	 0.38383550E-03
  234.00000    	  253.00000    	 0.19830026    	 0.34922884E-03
  253.00000    	  274.00000    	 0.16036789    	 0.31773505E-03
  274.00000    	  297.00000    	 0.12412576    	 0.28390577E-03
  297.00000    	  322.00000    	 0.92765585E-01	 0.24826691E-03
  322.00000    	  350.00000    	 0.69423611E-01	 0.21910303E-03
  350.00000    	  381.00000    	 0.50755768E-01	 0.18897517E-03
  381.00000    	  436.00000    	 0.55194655E-01	 0.19990373E-03
  436.00000    	  2000.0000    	 0.83768161E-01	 0.33789885E-03
