# ptl3
# underflow	  0.0000000    	  0.0000000    
# overflow	 0.30694449E-02	 0.96686053E-04
# sum	  1.6263909    	 0.94649987E-03
# xmin	xmax	cross	numerror
  0.0000000    	  15.000000    	 0.14076891E-01	 0.11975814E-03
  15.000000    	  30.000000    	 0.40875478    	 0.54225608E-03
  30.000000    	  45.000000    	 0.86339598    	 0.60840182E-03
  45.000000    	  60.000000    	 0.23400237    	 0.35058908E-03
  60.000000    	  75.000000    	 0.57598766E-01	 0.19546016E-03
  75.000000    	  90.000000    	 0.22495563E-01	 0.13266667E-03
  90.000000    	  105.00000    	 0.11016552E-01	 0.10526366E-03
  105.00000    	  120.00000    	 0.63035615E-02	 0.86979751E-04
  120.00000    	  135.00000    	 0.35875768E-02	 0.84948341E-04
  135.00000    	  150.00000    	 0.20893732E-02	 0.58287233E-04
