# m4lpta
# underflow	  0.0000000    	  0.0000000    
# overflow	  0.0000000    	  0.0000000    
# sum	-0.22028577    	 0.15365490E-03
# xmin	xmax	cross	numerror
  20.000000    	  86.000000    	  0.0000000    	  0.0000000    
  86.000000    	  96.000000    	  0.0000000    	  0.0000000    
  96.000000    	  104.00000    	  0.0000000    	  0.0000000    
  104.00000    	  122.00000    	  0.0000000    	  0.0000000    
  122.00000    	  128.00000    	  0.0000000    	  0.0000000    
  128.00000    	  137.00000    	  0.0000000    	  0.0000000    
  137.00000    	  149.00000    	  0.0000000    	  0.0000000    
  149.00000    	  163.00000    	  0.0000000    	  0.0000000    
  163.00000    	  182.00000    	-0.28037522E-03	 0.11684648E-04
  182.00000    	  191.00000    	-0.59205942E-02	 0.51719183E-04
  191.00000    	  199.00000    	-0.81176894E-02	 0.28295410E-04
  199.00000    	  216.00000    	-0.18347971E-01	 0.41690919E-04
  216.00000    	  234.00000    	-0.17337729E-01	 0.40532523E-04
  234.00000    	  253.00000    	-0.14887819E-01	 0.37887104E-04
  253.00000    	  274.00000    	-0.13067607E-01	 0.35790925E-04
  274.00000    	  297.00000    	-0.11352503E-01	 0.33617208E-04
  297.00000    	  322.00000    	-0.10196540E-01	 0.32233189E-04
  322.00000    	  350.00000    	-0.10417678E-01	 0.32192597E-04
  350.00000    	  381.00000    	-0.12916738E-01	 0.36013232E-04
  381.00000    	  436.00000    	-0.22561752E-01	 0.47002515E-04
  436.00000    	  2000.0000    	-0.74880778E-01	 0.84786225E-04
