# ptl4
# underflow	  0.0000000    	  0.0000000    
# overflow	-0.12755897E-02	 0.18227366E-04
# sum	-0.22038099    	 0.16340731E-03
# xmin	xmax	cross	numerror
  0.0000000    	  15.000000    	-0.21184753E-01	 0.50186594E-04
  15.000000    	  30.000000    	-0.80424073E-01	 0.93811807E-04
  30.000000    	  45.000000    	-0.55369487E-01	 0.84155013E-04
  45.000000    	  60.000000    	-0.24241429E-01	 0.50549345E-04
  60.000000    	  75.000000    	-0.15460568E-01	 0.43589030E-04
  75.000000    	  90.000000    	-0.97721324E-02	 0.36927049E-04
  90.000000    	  105.00000    	-0.59314512E-02	 0.30278859E-04
  105.00000    	  120.00000    	-0.34812229E-02	 0.24355404E-04
  120.00000    	  135.00000    	-0.20529271E-02	 0.19584391E-04
  135.00000    	  150.00000    	-0.11873554E-02	 0.15997112E-04
