# m3456
# underflow	  0.0000000    	  0.0000000    
# overflow	 0.44631969E-01	 0.19293448E-03
# sum	  1.5571307    	 0.11499911E-02
# xmin	xmax	cross	numerror
  0.0000000    	  10.000000    	  0.0000000    	  0.0000000    
  10.000000    	  20.000000    	  0.0000000    	  0.0000000    
  20.000000    	  30.000000    	  0.0000000    	  0.0000000    
  30.000000    	  40.000000    	  0.0000000    	  0.0000000    
  40.000000    	  50.000000    	  0.0000000    	  0.0000000    
  50.000000    	  60.000000    	  0.0000000    	  0.0000000    
  60.000000    	  70.000000    	  0.0000000    	  0.0000000    
  70.000000    	  80.000000    	  0.0000000    	  0.0000000    
  80.000000    	  90.000000    	  0.0000000    	  0.0000000    
  90.000000    	  100.00000    	  0.0000000    	  0.0000000    
  100.00000    	  110.00000    	  0.0000000    	  0.0000000    
  110.00000    	  120.00000    	  0.0000000    	  0.0000000    
  120.00000    	  130.00000    	  0.0000000    	  0.0000000    
  130.00000    	  140.00000    	  0.0000000    	  0.0000000    
  140.00000    	  150.00000    	  0.0000000    	  0.0000000    
  150.00000    	  160.00000    	  0.0000000    	  0.0000000    
  160.00000    	  170.00000    	  0.0000000    	  0.0000000    
  170.00000    	  180.00000    	  0.0000000    	  0.0000000    
  180.00000    	  190.00000    	 0.10837043    	 0.54126078E-03
  190.00000    	  200.00000    	 0.16314250    	 0.33110855E-03
  200.00000    	  210.00000    	 0.16031679    	 0.32883712E-03
  210.00000    	  220.00000    	 0.14644063    	 0.31590604E-03
  220.00000    	  230.00000    	 0.12934925    	 0.29976677E-03
  230.00000    	  240.00000    	 0.11242640    	 0.27984901E-03
  240.00000    	  250.00000    	 0.96795406E-01	 0.26163988E-03
  250.00000    	  260.00000    	 0.82957423E-01	 0.24293206E-03
  260.00000    	  270.00000    	 0.70869540E-01	 0.22594802E-03
  270.00000    	  280.00000    	 0.60749340E-01	 0.21034182E-03
  280.00000    	  290.00000    	 0.51857131E-01	 0.19392292E-03
  290.00000    	  300.00000    	 0.44481905E-01	 0.18195171E-03
  300.00000    	  310.00000    	 0.38122697E-01	 0.16691776E-03
  310.00000    	  320.00000    	 0.32915631E-01	 0.15701980E-03
  320.00000    	  330.00000    	 0.28318011E-01	 0.14391324E-03
  330.00000    	  340.00000    	 0.24492290E-01	 0.13717207E-03
  340.00000    	  350.00000    	 0.20934367E-01	 0.12504814E-03
  350.00000    	  360.00000    	 0.18266859E-01	 0.11712961E-03
  360.00000    	  370.00000    	 0.16158968E-01	 0.10972826E-03
  370.00000    	  380.00000    	 0.14311877E-01	 0.10253271E-03
  380.00000    	  390.00000    	 0.12760860E-01	 0.96964120E-04
  390.00000    	  400.00000    	 0.11463061E-01	 0.94006083E-04
  400.00000    	  410.00000    	 0.10211006E-01	 0.87685832E-04
  410.00000    	  420.00000    	 0.92053521E-02	 0.85041321E-04
  420.00000    	  430.00000    	 0.82545619E-02	 0.79805516E-04
  430.00000    	  440.00000    	 0.74193705E-02	 0.74385777E-04
  440.00000    	  450.00000    	 0.67329541E-02	 0.71353060E-04
  450.00000    	  460.00000    	 0.60594544E-02	 0.67156419E-04
  460.00000    	  470.00000    	 0.54980911E-02	 0.62998459E-04
  470.00000    	  480.00000    	 0.49691824E-02	 0.62065092E-04
  480.00000    	  490.00000    	 0.45257320E-02	 0.59853538E-04
  490.00000    	  500.00000    	 0.41217059E-02	 0.55255652E-04
