# m4lpta
# underflow	  0.0000000    	  0.0000000    
# overflow	  0.0000000    	  0.0000000    
# sum	  1.5568742    	 0.10759636E-02
# xmin	xmax	cross	numerror
  20.000000    	  86.000000    	  0.0000000    	  0.0000000    
  86.000000    	  96.000000    	  0.0000000    	  0.0000000    
  96.000000    	  104.00000    	  0.0000000    	  0.0000000    
  104.00000    	  122.00000    	  0.0000000    	  0.0000000    
  122.00000    	  128.00000    	  0.0000000    	  0.0000000    
  128.00000    	  137.00000    	  0.0000000    	  0.0000000    
  137.00000    	  149.00000    	  0.0000000    	  0.0000000    
  149.00000    	  163.00000    	  0.0000000    	  0.0000000    
  163.00000    	  182.00000    	 0.94962768E-02	 0.20183881E-03
  182.00000    	  191.00000    	 0.11406473    	 0.35075802E-03
  191.00000    	  199.00000    	 0.13109219    	 0.29850488E-03
  199.00000    	  216.00000    	 0.26655443    	 0.41544682E-03
  216.00000    	  234.00000    	 0.23298305    	 0.39417306E-03
  234.00000    	  253.00000    	 0.18854751    	 0.35843957E-03
  253.00000    	  274.00000    	 0.15299671    	 0.32677824E-03
  274.00000    	  297.00000    	 0.11908490    	 0.29206862E-03
  297.00000    	  322.00000    	 0.89627926E-01	 0.25482410E-03
  322.00000    	  350.00000    	 0.67720967E-01	 0.22375142E-03
  350.00000    	  381.00000    	 0.50105733E-01	 0.19202563E-03
  381.00000    	  436.00000    	 0.55126179E-01	 0.20372895E-03
  436.00000    	  2000.0000    	 0.79473618E-01	 0.25081397E-03
