# ptl4
# underflow	  0.0000000    	  0.0000000    
# overflow	 0.22614578E-03	 0.13745183E-04
# sum	  1.5547130    	 0.11655601E-02
# xmin	xmax	cross	numerror
  0.0000000    	  15.000000    	 0.21014931    	 0.41504702E-03
  15.000000    	  30.000000    	 0.82754632    	 0.91495611E-03
  30.000000    	  45.000000    	 0.45367187    	 0.55447755E-03
  45.000000    	  60.000000    	 0.40435359E-01	 0.15533268E-03
  60.000000    	  75.000000    	 0.12564622E-01	 0.91207523E-04
  75.000000    	  90.000000    	 0.54996396E-02	 0.69440931E-04
  90.000000    	  105.00000    	 0.25563606E-02	 0.47678915E-04
  105.00000    	  120.00000    	 0.11883084E-02	 0.33856854E-04
  120.00000    	  135.00000    	 0.57078578E-03	 0.22413622E-04
  135.00000    	  150.00000    	 0.30424711E-03	 0.17212174E-04
