# m3456
# underflow	  0.0000000    	  0.0000000    
# overflow	 0.48735809E-01	 0.60384576E-04
# sum	 0.15107250    	 0.10932609E-03
# xmin	xmax	cross	numerror
  0.0000000    	  10.000000    	  0.0000000    	  0.0000000    
  10.000000    	  20.000000    	  0.0000000    	  0.0000000    
  20.000000    	  30.000000    	  0.0000000    	  0.0000000    
  30.000000    	  40.000000    	  0.0000000    	  0.0000000    
  40.000000    	  50.000000    	  0.0000000    	  0.0000000    
  50.000000    	  60.000000    	  0.0000000    	  0.0000000    
  60.000000    	  70.000000    	  0.0000000    	  0.0000000    
  70.000000    	  80.000000    	  0.0000000    	  0.0000000    
  80.000000    	  90.000000    	  0.0000000    	  0.0000000    
  90.000000    	  100.00000    	  0.0000000    	  0.0000000    
  100.00000    	  110.00000    	  0.0000000    	  0.0000000    
  110.00000    	  120.00000    	  0.0000000    	  0.0000000    
  120.00000    	  130.00000    	  0.0000000    	  0.0000000    
  130.00000    	  140.00000    	  0.0000000    	  0.0000000    
  140.00000    	  150.00000    	  0.0000000    	  0.0000000    
  150.00000    	  160.00000    	  0.0000000    	  0.0000000    
  160.00000    	  170.00000    	  0.0000000    	  0.0000000    
  170.00000    	  180.00000    	  0.0000000    	  0.0000000    
  180.00000    	  190.00000    	 0.13496143E-02	 0.21395828E-04
  190.00000    	  200.00000    	 0.24516812E-02	 0.20014744E-04
  200.00000    	  210.00000    	 0.27002343E-02	 0.14731347E-04
  210.00000    	  220.00000    	 0.27498181E-02	 0.13979138E-04
  220.00000    	  230.00000    	 0.27403113E-02	 0.14080544E-04
  230.00000    	  240.00000    	 0.27005931E-02	 0.14077231E-04
  240.00000    	  250.00000    	 0.26922190E-02	 0.14114232E-04
  250.00000    	  260.00000    	 0.26795556E-02	 0.14076148E-04
  260.00000    	  270.00000    	 0.26840680E-02	 0.14162925E-04
  270.00000    	  280.00000    	 0.26830248E-02	 0.14194268E-04
  280.00000    	  290.00000    	 0.27086055E-02	 0.14296506E-04
  290.00000    	  300.00000    	 0.27507102E-02	 0.14412182E-04
  300.00000    	  310.00000    	 0.27839545E-02	 0.14502966E-04
  310.00000    	  320.00000    	 0.28598413E-02	 0.14762028E-04
  320.00000    	  330.00000    	 0.29540482E-02	 0.15005761E-04
  330.00000    	  340.00000    	 0.30948866E-02	 0.15347572E-04
  340.00000    	  350.00000    	 0.33443709E-02	 0.15925505E-04
  350.00000    	  360.00000    	 0.37261356E-02	 0.16864430E-04
  360.00000    	  370.00000    	 0.39840147E-02	 0.17422106E-04
  370.00000    	  380.00000    	 0.41582084E-02	 0.17844615E-04
  380.00000    	  390.00000    	 0.42195353E-02	 0.17908876E-04
  390.00000    	  400.00000    	 0.42260660E-02	 0.17855833E-04
  400.00000    	  410.00000    	 0.41818429E-02	 0.17732451E-04
  410.00000    	  420.00000    	 0.41071415E-02	 0.17660031E-04
  420.00000    	  430.00000    	 0.39799093E-02	 0.17305464E-04
  430.00000    	  440.00000    	 0.38604393E-02	 0.17181292E-04
  440.00000    	  450.00000    	 0.37113618E-02	 0.16751611E-04
  450.00000    	  460.00000    	 0.35637406E-02	 0.16459641E-04
  460.00000    	  470.00000    	 0.34117892E-02	 0.16126343E-04
  470.00000    	  480.00000    	 0.32459845E-02	 0.15839558E-04
  480.00000    	  490.00000    	 0.30956851E-02	 0.15322376E-04
  490.00000    	  500.00000    	 0.29372956E-02	 0.14844919E-04
