# m4lpta
# underflow	  0.0000000    	  0.0000000    
# overflow	  0.0000000    	  0.0000000    
# sum	 0.15103098    	 0.10504989E-03
# xmin	xmax	cross	numerror
  20.000000    	  86.000000    	  0.0000000    	  0.0000000    
  86.000000    	  96.000000    	  0.0000000    	  0.0000000    
  96.000000    	  104.00000    	  0.0000000    	  0.0000000    
  104.00000    	  122.00000    	  0.0000000    	  0.0000000    
  122.00000    	  128.00000    	  0.0000000    	  0.0000000    
  128.00000    	  137.00000    	  0.0000000    	  0.0000000    
  137.00000    	  149.00000    	  0.0000000    	  0.0000000    
  149.00000    	  163.00000    	  0.0000000    	  0.0000000    
  163.00000    	  182.00000    	 0.12383884E-03	 0.61449640E-05
  182.00000    	  191.00000    	 0.13867455E-02	 0.18282618E-04
  191.00000    	  199.00000    	 0.19762101E-02	 0.18224091E-04
  199.00000    	  216.00000    	 0.46137181E-02	 0.19083577E-04
  216.00000    	  234.00000    	 0.49223156E-02	 0.18799786E-04
  234.00000    	  253.00000    	 0.51220048E-02	 0.19340023E-04
  253.00000    	  274.00000    	 0.56187309E-02	 0.20383630E-04
  274.00000    	  297.00000    	 0.62518479E-02	 0.21579794E-04
  297.00000    	  322.00000    	 0.70577568E-02	 0.22981852E-04
  322.00000    	  350.00000    	 0.88066051E-02	 0.25624859E-04
  350.00000    	  381.00000    	 0.12292509E-01	 0.30214389E-04
  381.00000    	  436.00000    	 0.22617198E-01	 0.40046681E-04
  436.00000    	  2000.0000    	 0.70241495E-01	 0.68242730E-04
