# ptl1
# underflow	  0.0000000    	  0.0000000    
# overflow	 0.55492190E-01	 0.58657461E-04
# sum	 0.15100755    	 0.11023624E-03
# xmin	xmax	cross	numerror
  0.0000000    	  15.000000    	  0.0000000    	  0.0000000    
  15.000000    	  30.000000    	 0.31888400E-04	 0.24845924E-05
  30.000000    	  45.000000    	 0.10717531E-02	 0.13567408E-04
  45.000000    	  60.000000    	 0.95239731E-02	 0.43091622E-04
  60.000000    	  75.000000    	 0.13042842E-01	 0.34021321E-04
  75.000000    	  90.000000    	 0.14041454E-01	 0.33411520E-04
  90.000000    	  105.00000    	 0.14692551E-01	 0.33997985E-04
  105.00000    	  120.00000    	 0.15123611E-01	 0.34215679E-04
  120.00000    	  135.00000    	 0.14643875E-01	 0.33123573E-04
  135.00000    	  150.00000    	 0.13343408E-01	 0.31091279E-04
