# m4lpta
# underflow	  0.0000000    	  0.0000000    
# overflow	  0.0000000    	  0.0000000    
# sum	  14.481547    	 0.10009861E-01
# xmin	xmax	cross	numerror
  20.000000    	  86.000000    	  0.0000000    	  0.0000000    
  86.000000    	  96.000000    	  0.0000000    	  0.0000000    
  96.000000    	  104.00000    	  0.0000000    	  0.0000000    
  104.00000    	  122.00000    	  0.0000000    	  0.0000000    
  122.00000    	  128.00000    	  0.0000000    	  0.0000000    
  128.00000    	  137.00000    	  0.0000000    	  0.0000000    
  137.00000    	  149.00000    	  0.0000000    	  0.0000000    
  149.00000    	  163.00000    	  0.0000000    	  0.0000000    
  163.00000    	  182.00000    	 0.69272180E-01	 0.83885864E-03
  182.00000    	  191.00000    	 0.89975368    	 0.25488847E-02
  191.00000    	  199.00000    	  1.1629194    	 0.27404879E-02
  199.00000    	  216.00000    	  2.4162715    	 0.37908423E-02
  216.00000    	  234.00000    	  2.0884342    	 0.35254935E-02
  234.00000    	  253.00000    	  1.6882746    	 0.32018237E-02
  253.00000    	  274.00000    	  1.3962074    	 0.29657672E-02
  274.00000    	  297.00000    	  1.1196834    	 0.26953324E-02
  297.00000    	  322.00000    	 0.87577760    	 0.24391863E-02
  322.00000    	  350.00000    	 0.69653446    	 0.22310833E-02
  350.00000    	  381.00000    	 0.54147571    	 0.20223178E-02
  381.00000    	  436.00000    	 0.60127878    	 0.21755108E-02
  436.00000    	  2000.0000    	 0.92566375    	 0.35531264E-02
