# ptl2
# underflow	  0.0000000    	  0.0000000    
# overflow	 0.30117481    	 0.23203561E-02
# sum	  14.479823    	 0.96439566E-02
# xmin	xmax	cross	numerror
  0.0000000    	  15.000000    	  0.0000000    	  0.0000000    
  15.000000    	  30.000000    	 0.14784445    	 0.10346241E-02
  30.000000    	  45.000000    	  3.2279752    	 0.45111457E-02
  45.000000    	  60.000000    	  5.3368784    	 0.55517238E-02
  60.000000    	  75.000000    	  2.7154306    	 0.41066849E-02
  75.000000    	  90.000000    	  1.3124091    	 0.28672599E-02
  90.000000    	  105.00000    	 0.68333196    	 0.21039063E-02
  105.00000    	  120.00000    	 0.38293310    	 0.16236950E-02
  120.00000    	  135.00000    	 0.22880800    	 0.13665182E-02
  135.00000    	  150.00000    	 0.14303782    	 0.11675219E-02
