# ptl3
# underflow	  0.0000000    	  0.0000000    
# overflow	 0.13677889E-01	 0.55306163E-03
# sum	  14.479062    	 0.92221676E-02
# xmin	xmax	cross	numerror
  0.0000000    	  15.000000    	 0.81368408E-01	 0.82312703E-03
  15.000000    	  30.000000    	  3.0205290    	 0.46235324E-02
  30.000000    	  45.000000    	  8.0215243    	 0.63949303E-02
  45.000000    	  60.000000    	  2.4556791    	 0.38360227E-02
  60.000000    	  75.000000    	 0.53719652    	 0.19214439E-02
  75.000000    	  90.000000    	 0.19215063    	 0.12542837E-02
  90.000000    	  105.00000    	 0.83949792E-01	 0.97835471E-03
  105.00000    	  120.00000    	 0.40218775E-01	 0.61042926E-03
  120.00000    	  135.00000    	 0.21375386E-01	 0.55716523E-03
  135.00000    	  150.00000    	 0.11392242E-01	 0.41508351E-03
