n,c6,ct,cg
1, -0.2000000E+02, -0.1000000E+01, -0.1000000E-01
2, -0.2000000E+02, -0.1000000E+01,  0.0000000E+00
3, -0.2000000E+02, -0.1000000E+01,  0.1000000E-01
4, -0.2000000E+02,  0.0000000E+00, -0.1000000E-01
5, -0.2000000E+02,  0.0000000E+00,  0.0000000E+00
6, -0.2000000E+02,  0.0000000E+00,  0.1000000E-01
7, -0.2000000E+02,  0.1000000E+01, -0.1000000E-01
8, -0.2000000E+02,  0.1000000E+01,  0.0000000E+00
9, -0.2000000E+02,  0.1000000E+01,  0.1000000E-01
10, -0.1000000E+02, -0.1000000E+01, -0.1000000E-01
11, -0.1000000E+02, -0.1000000E+01,  0.0000000E+00
12, -0.1000000E+02, -0.1000000E+01,  0.1000000E-01
13, -0.1000000E+02,  0.0000000E+00, -0.1000000E-01
14, -0.1000000E+02,  0.0000000E+00,  0.0000000E+00
15, -0.1000000E+02,  0.0000000E+00,  0.1000000E-01
16, -0.1000000E+02,  0.1000000E+01, -0.1000000E-01
17, -0.1000000E+02,  0.1000000E+01,  0.0000000E+00
18, -0.1000000E+02,  0.1000000E+01,  0.1000000E-01
19,  0.0000000E+00, -0.1000000E+01, -0.1000000E-01
20,  0.0000000E+00, -0.1000000E+01,  0.0000000E+00
21,  0.0000000E+00, -0.1000000E+01,  0.1000000E-01
22,  0.0000000E+00,  0.0000000E+00, -0.1000000E-01
23,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
24,  0.0000000E+00,  0.0000000E+00,  0.1000000E-01
25,  0.0000000E+00,  0.1000000E+01, -0.1000000E-01
26,  0.0000000E+00,  0.1000000E+01,  0.0000000E+00
27,  0.0000000E+00,  0.1000000E+01,  0.1000000E-01
28,  0.1000000E+02, -0.1000000E+01, -0.1000000E-01
29,  0.1000000E+02, -0.1000000E+01,  0.0000000E+00
30,  0.1000000E+02, -0.1000000E+01,  0.1000000E-01
31,  0.1000000E+02,  0.0000000E+00, -0.1000000E-01
32,  0.1000000E+02,  0.0000000E+00,  0.0000000E+00
33,  0.1000000E+02,  0.0000000E+00,  0.1000000E-01
34,  0.1000000E+02,  0.1000000E+01, -0.1000000E-01
35,  0.1000000E+02,  0.1000000E+01,  0.0000000E+00
36,  0.1000000E+02,  0.1000000E+01,  0.1000000E-01
37,  0.2000000E+02, -0.1000000E+01, -0.1000000E-01
38,  0.2000000E+02, -0.1000000E+01,  0.0000000E+00
39,  0.2000000E+02, -0.1000000E+01,  0.1000000E-01
40,  0.2000000E+02,  0.0000000E+00, -0.1000000E-01
41,  0.2000000E+02,  0.0000000E+00,  0.0000000E+00
42,  0.2000000E+02,  0.0000000E+00,  0.1000000E-01
43,  0.2000000E+02,  0.1000000E+01, -0.1000000E-01
44,  0.2000000E+02,  0.1000000E+01,  0.0000000E+00
45,  0.2000000E+02,  0.1000000E+01,  0.1000000E-01
